NIPIKD_00005	iJN1463.PP_1294	43.8	112	58	3	24	131	27	137	2.68e-20	80.5
NIPIKD_00005	iEK1008.Rv0866	36.2	116	70	1	18	129	23	138	2.00e-18	75.5
NIPIKD_00006	iJN1463.PP_1293	31.6	95	48	4	1	92	2	82	6.30e-05	37.7
NIPIKD_00009	iAF692.Mbar_A1238	50.8	240	118	0	13	252	1	240	2.28e-84	251
NIPIKD_00012	iAM_Pf480.PF3D7_1032400	26.4	178	126	4	191	366	217	391	5.96e-16	78.6
NIPIKD_00012	iAM_Pv461.PVX_111105	21.6	389	254	14	3	366	14	376	4.11e-15	75.9
NIPIKD_00012	iEK1008.Rv3032	28.5	242	161	6	135	366	151	390	1.71e-14	73.9
NIPIKD_00012	iAM_Pb448.PBANKA_051620	24.6	183	123	4	191	366	213	387	4.62e-14	72.8
NIPIKD_00017	iSynCJ816.SGL_RS14915	38.9	388	227	4	35	414	63	448	9.64e-86	268
NIPIKD_00018	iAF987.Gmet_2444	31.2	619	335	15	16	553	23	631	7.85e-87	282
NIPIKD_00018	iAF692.Mbar_A0589	31.5	635	339	11	20	572	6	626	2.03e-82	270
NIPIKD_00028	iIS312.TCDM_07113	30.7	114	66	3	70	175	346	454	6.73e-05	45.1
NIPIKD_00030	iAF987.Gmet_1827	30.6	532	299	15	1	481	5	517	2.85e-49	177
NIPIKD_00030	iAF692.Mbar_A2988	27.5	550	321	13	3	475	21	569	9.09e-43	160
NIPIKD_00030	iAF692.Mbar_A0058	31.6	455	262	18	16	428	22	469	8.61e-43	159
NIPIKD_00037	iAT_PLT_636.4905	31.6	453	258	15	191	611	220	652	7.33e-46	174
NIPIKD_00037	iMM1415.18195	31.6	453	258	15	191	611	220	652	7.33e-46	174
NIPIKD_00041	iAF987.Gmet_3159	42.1	855	457	13	13	844	14	853	5.22e-200	591
NIPIKD_00041	iEK1008.Rv1328	40.0	864	450	16	10	831	12	849	9.47e-181	541
NIPIKD_00045	iAF692.Mbar_A1438	64.9	356	123	1	1	356	1	354	6.74e-161	454
NIPIKD_00061	iAM_Pb448.PBANKA_091170	33.1	142	78	5	136	266	684	819	1.82e-10	61.2
NIPIKD_00061	iAM_Pc455.PCYB_094280	35.3	133	70	4	136	257	712	839	1.85e-09	58.2
NIPIKD_00061	iAM_Pv461.PVX_092460	34.6	133	71	4	136	257	867	994	2.53e-09	57.8
NIPIKD_00061	iAM_Pf480.PF3D7_1136900	36.3	135	66	5	136	257	733	860	8.00e-09	56.2
NIPIKD_00066	iAF692.Mbar_A1492	44.3	183	95	3	1	178	1	181	8.58e-45	146
NIPIKD_00067	iAF692.Mbar_A1493	44.7	333	179	4	32	360	3	334	2.16e-90	274
NIPIKD_00068	iAF692.Mbar_A0630	55.0	200	85	3	13	208	37	235	4.58e-68	208
NIPIKD_00069	iAF987.Gmet_0485	43.9	237	119	4	15	242	2	233	1.66e-42	160
NIPIKD_00069	iAF692.Mbar_A0629	41.5	248	132	4	1	239	1	244	4.31e-45	158
NIPIKD_00069	iCN900.CD630_34240	41.0	229	121	4	19	238	4	227	8.20e-45	156
NIPIKD_00069	STM_v1_0.STM2027	39.4	231	126	4	17	238	2	227	3.23e-43	152
NIPIKD_00069	iHN637.CLJU_RS15700	43.6	195	104	2	16	205	3	196	3.23e-42	149
NIPIKD_00069	iYL1228.KPN_03192	39.5	233	123	4	17	238	2	227	1.26e-41	148
NIPIKD_00070	iAF987.Gmet_0484	30.0	300	167	6	24	280	50	349	1.14e-19	87.0
NIPIKD_00071	iAF692.Mbar_A0627	62.1	235	89	0	1	235	1	235	1.97e-101	294
NIPIKD_00072	iAF692.Mbar_A0626	42.1	202	115	1	1	200	1	202	2.54e-54	171
NIPIKD_00073	iAF692.Mbar_A0625	35.2	179	104	4	1	169	5	181	5.33e-32	112
NIPIKD_00077	iAF692.Mbar_A3653	43.7	648	321	18	3	613	10	650	1.28e-161	477
NIPIKD_00077	iAF692.Mbar_A1369	43.2	646	321	15	6	613	13	650	5.15e-158	468
NIPIKD_00081	iAF692.Mbar_A0550	69.1	388	119	1	1	387	1	388	1.86e-187	524
NIPIKD_00082	iAF692.Mbar_A0551	72.6	347	92	2	1	344	1	347	3.55e-183	509
NIPIKD_00086	iAF692.Mbar_A1262	54.7	298	132	2	5	301	6	301	1.33e-105	309
NIPIKD_00087	iAF692.Mbar_A1261	56.8	236	85	1	5	223	6	241	1.75e-82	246
NIPIKD_00088	iAF692.Mbar_A1260	49.8	271	126	2	1	271	1	261	1.07e-84	254
NIPIKD_00089	iAF692.Mbar_A1259	49.5	91	46	0	1	91	1	91	4.04e-28	98.6
NIPIKD_00090	iAF692.Mbar_A1258	55.0	238	105	2	1	237	1	237	5.96e-87	257
NIPIKD_00091	iAF692.Mbar_A1257	45.5	66	34	1	1	66	3	66	3.70e-14	60.5
